[0, 0, 1, 0, 0]
0 0 0 0 0 
0 0 0 0 0 
0 0 1 0 0 
0 0 5 0 0 
0 0 9 0 0 
0 -1 14 0 1 
0 -1 21 0 1 
0 -1 27 0 1 
0 -1 33 0 0 
0 -1 38 0 0 
0 -1 42 0 0 
0 0 46 0 0 
0 0 48 0 0 
0 -1 48 0 0 
0 -1 44 0 0 
0 -2 38 0 0 
0 -2 30 0 0 
0 -2 21 0 0 
0 -1 11 -1 0 
0 0 3 -1 0 
0 1 -4 -1 1 
0 0 -10 -1 1 
0 0 -14 -1 1 
0 0 -16 0 1 
0 0 -17 0 1 
0 0 -16 0 1 
-1 1 -13 0 1 
-1 0 -10 0 1 
-1 0 -6 0 1 
-1 0 -1 0 0 
-1 -1 5 0 1 
-1 0 10 0 0 
-1 1 15 0 0 
-1 0 20 0 0 
-1 0 24 0 0 
-1 -1 29 0 0 
-1 -1 32 0 0 
-1 -1 35 0 0 
-1 0 36 0 0 
-1 0 34 1 0 
-1 1 31 0 0 
-1 1 26 1 0 
-1 1 19 0 0 
-1 1 12 0 0 
-1 0 5 0 0 
-1 0 0 0 0 
0 0 -4 0 0 
0 0 -6 0 1 
