[0, 1, 1, 1, 0]
0 0 0 0 0 
0 0 0 0 1 
0 0 0 0 1 
-1 0 0 0 1 
-1 0 0 0 1 
-1 -2 -1 0 1 
-1 -4 -1 -1 0 
-1 -7 -1 -1 0 
-1 -11 -1 -1 0 
-1 -15 0 0 1 
0 -20 0 0 0 
0 -24 -2 0 0 
1 -28 -4 0 0 
1 -32 -7 0 0 
1 -34 -11 0 0 
1 -37 -15 -1 1 
0 -39 -17 -1 1 
0 -42 -18 -1 1 
1 -44 -20 -1 1 
1 -46 -20 -1 2 
1 -46 -20 -1 1 
1 -46 -21 -1 1 
1 -46 -21 -1 1 
1 -47 -20 -1 1 
1 -46 -20 2 1 
1 -46 -20 8 1 
1 -46 -20 15 1 
1 -45 -20 23 1 
1 -45 -19 31 0 
1 -46 -19 37 1 
1 -46 -19 39 1 
1 -46 -19 37 1 
1 -47 -19 31 1 
1 -47 -20 25 1 
1 -47 -20 18 1 
1 -47 -19 10 1 
1 -47 -20 6 1 
1 -47 -19 5 1 
1 -46 -19 4 1 
1 -45 -19 4 1 
1 -44 -20 4 1 
1 -41 -19 4 1 
0 -37 -19 4 0 
0 -33 -18 4 1 
0 -29 -17 5 1 
0 -27 -16 4 1 
0 -23 -14 5 2 
0 -20 -13 4 2 
0 -16 -12 4 1 
-1 -14 -13 4 1 
-1 -11 -12 4 1 
-1 -9 -11 4 1 
-1 -8 -10 5 2 
0 -6 -9 5 2 
0 -4 -7 5 2 
0 -2 -7 5 2 
0 -1 -6 4 1 
0 -1 -6 4 1 
0 0 -5 4 1 
0 0 -5 4 1 
0 -1 -3 3 1 
-1 0 -2 3 0 
-1 0 -1 3 0 
0 -1 1 3 0 
0 0 2 3 1 
-1 1 2 4 1 
